country,date,GDP per capita (constant 2010 US$)
Malawi,1960,178.81290078416
Lesotho,1960,231.136955018551
China,1960,238.216631254768
Burkina Faso,1960,241.60549970059
Burundi,1960,285.43888882365
India,1960,302.671818657069
East Asia & Pacific (excluding high income),1960,320.473217875216
East Asia & Pacific (IDA & IBRD countries),1960,324.178492343451
South Asia (IDA & IBRD),1960,325.601655682811
South Asia,1960,325.601655682811
Nepal,1960,328.484193954486
Togo,1960,339.003440471097
Rwanda,1960,345.159262600028
Botswana,1960,357.563247616803
Pakistan,1960,379.026517888197
