date,Australia,Burundi,Brazil,China,Congo Dem Rep,Denmark,India,Korea Rep,Lesotho,Luxembourg,Malawi,Niger,Norway,United States
1965,22509.0974044746,279.351141253257,2787.43877839417,232.60679595708,1236.10193512214,22519.8115263793,323.464109081673,1274.04150740789,301.531061286674,28161.9387666349,197.281764637795,897.96684839706,23074.7568949709,22696.678582964
1970,26894.5064781818,352.648717365613,3605.87048569222,283.584855403322,1290.74529013517,26927.9590369218,362.991056308605,1977.07104276071,308.64645833738,35499.5216263207,219.829241702737,759.89844893277,26630.9505150208,25279.1887911359
1975,28325.0160604625,340.652857645895,5168.28064014686,337.343523152952,1268.70115937019,28480.3554790863,372.964620527198,2905.6238168424,348.198582157645,38713.98810921,275.758437830241,581.110959351448,32686.0926380106,27362.9974904271
1980,30790.9684924934,371.111957969222,6500.38780554116,430.854648739046,1021.81222224689,32073.6413237087,387.640860006051,4055.79084165206,482.98995725191,42688.1676153751,301.058231107529,647.345145288363,40059.9802136376,31142.1936846738
1985,32995.138056256,418.495990172362,6178.52391509739,667.127363525023,987.494406672002,36783.9410443123,444.232664391334,5950.80042847995,492.7280106263,47926.5703437042,287.216021555322,492.495167711992,46717.2206938984,34986.3568660581
1990,36974.4509255049,438.71252958928,6155.64537307478,905.030858570453,849.552585839652,39295.2434424919,532.7545500127,9365.39498597615,567.059982835493,66000.527689879,248.77128922818,480.985307976892,49741.425757739,39278.5953497875
1995,39223.1607674505,350.950993808139,6584.73922064371,1520.02678450203,485.41705660352,43310.2500901054,618.367769404092,13408.6814173347,659.668030373519,74865.9824195141,275.204650855238,432.50668317935,58151.5991798536,41794.19221265
2000,45558.753131278,306.584485377232,6787.66899225011,2193.8929912059,350.87083320079,49241.9280041345,757.668747182558,16992.4790763689,715.008511806352,92490.5083427061,294.343918110399,399.072792630227,67437.743355228,48689.0312898553
2005,50332.8748422221,295.737164631454,7352.28258589388,3390.7101702354,363.667547892057,51835.8327062445,953.567972961256,21193.3575135298,835.609783199408,101181.346389724,289.046857626314,411.12754953463,73036.740359019,52796.089816261
2010,53542.8337248074,313.311817914094,8702.25533075519,5647.05875239019,404.151614082661,51173.4661587111,1244.3660155716,25451.0041554666,995.581359028767,106501.218097124,358.94090275072,443.351265392706,72426.5652172527,52759.9980807375
