country,date,GDP per capita (constant 2010 US$)
Singapore,2010,48668.5766232103
Denmark,2010,51173.4661587111
North America,2010,51622.8085299988
United States,2010,52759.9980807375
San Marino,2010,52932.4275552159
Australia,2010,53542.8337248074
Qatar,2010,63001.7100487066
Isle of Man,2010,69933.0832378376
Norway,2010,72426.5652172527
"Macao SAR, China",2010,73991.0047919032
Cayman Islands,2010,75877.1683447801
Switzerland,2010,82026.7245120154
Luxembourg,2010,106501.218097124
Bermuda,2010,115839.79601113
Monaco,2010,132094.011710599
